country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,average_expenditure_per_capita,rating_by_capita
Antigua and Barbuda,519.13116455,571.1116333,557.902771,612.15380859,596.07177734,639.24017334,662.71893311,711.56207275,691.20733643,606.90460205,720.92443848,713.99853516,749.94378662,735.49279785,822.39221191,784.64538574,812.51092529,785.4710083,849.83349609,801.54382324,875.70098877,923.4072876,715.6304071595455,Moderate
Australia,1636.52856445,1559.82128906,1763.69567871,2240.74609375,2760.83081055,3014.10473633,3194.03076172,3815.33642578,4107.01269531,4011.93261719,4975.47070313,5909.14990234,6071.65087891,5843.17382813,6130.99853516,5322.97119141,5453.92480469,5813.61376953,5857.28808594,5545.91064453,5958.765625,7055.36816406,4456.469354803637,Very High
Austria,2269.0,2283.0,2498.0,3091.0,3595.0,3710.0,3883.0,4479.0,5058.0,4929.0,4801.0,5168.0,4966.0,5235.0,5394.0,4613.0,4710.0,4939.0,5337.0,5263.0,5567.0,6505.0,4467.863636363636,Very High
Azerbaijan,19.0,19.0,20.0,23.0,27.0,34.0,50.0,74.0,111.0,134.0,152.0,183.0,232.0,249.0,277.0,234.0,168.0,165.0,178.0,197.0,243.0,249.0,138.0909090909091,Low
Burundi,5.82561302,7.70397997,6.6404686,6.02923203,9.11969662,11.43010426,14.48706532,15.68034935,15.07347488,18.82117844,25.12049484,23.81056213,20.57489777,20.8417263,18.59082222,18.2036705,19.16795921,19.77140808,19.27294159,22.95755196,27.07072449,24.26920891,16.839233204090906,Low
Belgium,1849.91601563,1879.93457031,2084.7199707,2814.88061523,3312.74121094,3405.88500977,3545.92822266,4064.87646484,4653.50585938,4638.43896484,4531.03369141,4930.14111328,4704.47265625,4954.92431641,5080.125,4442.40136719,4542.79492188,4782.64697266,5176.98388672,5049.57714844,5104.02539063,5680.23144531,4146.826582476364,Very High
Benin,14.88457298,16.79668045,17.4725647,21.76790237,25.34852219,25.97800064,27.52271461,27.74564934,29.14166451,30.67226219,30.38452339,32.9503212,34.21852112,34.83580017,33.67948914,28.41767883,29.34768677,29.22344017,34.44770432,29.37922096,30.64243507,35.12914658,28.18120462272727,Low
Burkina Faso,7.36981916,7.52252769,8.51982498,11.43507481,17.09873199,17.50115776,20.64653969,27.04532623,28.90426254,30.68659401,32.8663559,33.8243866,33.78236771,42.40937042,38.37065506,32.44025803,39.64500427,43.07155609,39.00283813,41.07073212,54.17696762,56.95098114,30.197333270454546,Low
Bangladesh,8.6186285,8.41617775,9.37759209,10.3110857,11.10974789,11.61940002,12.37925339,14.41430759,15.99568462,18.20583725,21.15062714,23.28593445,23.89686203,27.40725899,30.29579544,33.53680038,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116,57.93856812,25.585135416363638,Low
Bulgaria,95.0,120.0,148.0,196.0,233.0,268.0,294.0,361.0,456.0,459.0,485.0,556.0,559.0,547.0,605.0,521.0,562.0,625.0,690.0,698.0,857.0,1040.0,471.59090909090907,Low
